Date,Narration,Debit,Credit,Balance
01-May-2025,ATM/WD/GTB LEKKI/CARD3311,"30,000.00",,"820,000.00"
02-May-2025,WEB/BET9JA/DEPOSIT/172125,"15,000.00",,"805,000.00"
02-May-2025,POS/HUBMART CIRCLE MALL/CARD3311,"19,000.00",,"786,000.00"
02-May-2025,WEB/DSTV SUBSCRIPTION COMPACT PLUS/MULTICHOICE NG/REF830113,"24,500.00",,"761,500.00"
04-May-2025,STAMP DUTY CHARGE/EMTL,50.00,,"761,450.00"
04-May-2025,STAMP DUTY CHARGE/EMTL,50.00,,"761,400.00"
04-May-2025,VTU/MTN/08034892485/DATA 25GB,"5,000.00",,"756,400.00"
04-May-2025,POS/HUBMART CIRCLE MALL/CARD3311,"22,000.00",,"734,400.00"
05-May-2025,VAT ON ELECTRONIC TRANSFER,7.00,,"734,393.00"
05-May-2025,POS/JEVINIK RESTAURANT/CARD3311,"6,000.00",,"728,393.00"
05-May-2025,WEB/NETFLIX.COM 8663434/AMSTERDAM NL/CARD3311,"7,900.00",,"720,493.00"
05-May-2025,WEB/SPECTRANET LTE/INTERNET MONTHLY/REF830114,"20,600.00",,"699,893.00"
06-May-2025,WEB/SPOTIFY P0FA23/STOCKHOLM SE/CARD3311,"1,300.00",,"698,593.00"
06-May-2025,POS/UBER BV/LAGOS,"4,500.00",,"694,093.00"
07-May-2025,WEB/BET9JA/DEPOSIT/290043,"20,000.00",,"674,093.00"
07-May-2025,KONGA ONLINE/REF830121,"20,000.00",,"654,093.00"
08-May-2025,JUMIA/ORDER/REF830119,"11,000.00",,"643,093.00"
09-May-2025,SMS ALERT CHARGE,52.00,,"643,041.00"
09-May-2025,POS/BOLT/TXFR/LAGOS,"8,100.00",,"634,941.00"
09-May-2025,WEB/IKEDC PREPAID/METER 45210178822 TOKEN/REF830115,"15,000.00",,"619,941.00"
10-May-2025,VAT ON ELECTRONIC TRANSFER,7.00,,"619,934.00"
10-May-2025,POS/UBER BV/LAGOS,"2,800.00",,"617,134.00"
10-May-2025,NIP/DR/TO FEMI ADELEKE/ZENITH/REF830123,"6,000.00",,"611,134.00"
10-May-2025,POS/NNPC RETAIL LEKKI/PMS,"12,700.00",,"598,434.00"
10-May-2025,WEB/BET9JA/DEPOSIT/620493,"15,000.00",,"583,434.00"
11-May-2025,POS/UBER BV/LAGOS,"6,100.00",,"577,334.00"
11-May-2025,POS/JEVINIK RESTAURANT/CARD3311,"6,300.00",,"571,034.00"
12-May-2025,POS/NNPC RETAIL LEKKI/PMS,"8,800.00",,"562,234.00"
16-May-2025,POS PURCHASE/JUST SHOP/REF830120,"19,000.00",,"543,234.00"
17-May-2025,POS/JEVINIK RESTAURANT/CARD3311,"5,700.00",,"537,534.00"
19-May-2025,POS/CHICKEN REPUBLIC/CARD3311,"4,500.00",,"533,034.00"
19-May-2025,POS/CHICKEN REPUBLIC/CARD3311,"6,200.00",,"526,834.00"
19-May-2025,WEB/BET9JA/DEPOSIT/938738,"20,000.00",,"506,834.00"
20-May-2025,NIP/CR/FROM AISHA BELLO/OPAY/REF830124,,"34,000.00","540,834.00"
20-May-2025,STAMP DUTY CHARGE/EMTL,50.00,,"540,784.00"
20-May-2025,ATM/WD/GTB LEKKI/CARD3311,"30,000.00",,"510,784.00"
21-May-2025,VTU/MTN/08034778213/DATA 25GB,"2,000.00",,"508,784.00"
21-May-2025,NIP/DR/TO IBRAHIM MUSA/ZENITH/REF830122,"11,000.00",,"497,784.00"
25-May-2025,NIP/CR/ACME TECHNOLOGIES LTD/SALARY MAY 2025/REF830112,,"522,500.00","1,020,284.00"
25-May-2025,SMS ALERT CHARGE,52.00,,"1,020,232.00"
25-May-2025,SMS ALERT CHARGE,52.00,,"1,020,180.00"
25-May-2025,NIP/DR/PIGGYVEST/SAVEFLEX AUTOSAVE/REF830116,"60,000.00",,"960,180.00"
27-May-2025,CARD MAINTENANCE FEE/QTRLY/REF830118,105.00,,"960,075.00"
27-May-2025,VTU/MTN/08034861147/DATA 10GB,"10,000.00",,"950,075.00"
27-May-2025,NIP/DR/TO MERCY ADEYEMI/GTBANK/MONTHLY UPKEEP/REF830117,"40,000.00",,"910,075.00"
28-May-2025,SMS ALERT CHARGE,52.00,,"910,023.00"
28-May-2025,POS/SPAR ILUPEJU/CARD3311,"27,000.00",,"883,023.00"
01-Jun-2025,WEB/BET9JA/DEPOSIT/341909,"15,000.00",,"868,023.00"
01-Jun-2025,WEB/BET9JA/DEPOSIT/475507,"20,000.00",,"848,023.00"
03-Jun-2025,WEB/DSTV SUBSCRIPTION COMPACT PLUS/MULTICHOICE NG/REF830126,"24,500.00",,"823,523.00"
04-Jun-2025,POS/UBER BV/LAGOS,"3,700.00",,"819,823.00"
04-Jun-2025,POS/CHICKEN REPUBLIC/CARD3311,"7,700.00",,"812,123.00"
04-Jun-2025,WEB/NETFLIX.COM 8663434/AMSTERDAM NL/CARD3311,"7,900.00",,"804,223.00"
05-Jun-2025,VTU/MTN/08034909472/DATA 25GB,"10,000.00",,"794,223.00"
06-Jun-2025,STAMP DUTY CHARGE/EMTL,50.00,,"794,173.00"
06-Jun-2025,POS/HUBMART CIRCLE MALL/CARD3311,"15,000.00",,"779,173.00"
07-Jun-2025,WEB/SPECTRANET LTE/INTERNET MONTHLY/REF830127,"20,600.00",,"758,573.00"
08-Jun-2025,WEB/SPOTIFY P0FA23/STOCKHOLM SE/CARD3311,"1,300.00",,"757,273.00"
08-Jun-2025,POS/TOTALENERGIES ADMIRALTY/PMS,"11,200.00",,"746,073.00"
09-Jun-2025,SMS ALERT CHARGE,52.00,,"746,021.00"
09-Jun-2025,SMS ALERT CHARGE,52.00,,"745,969.00"
10-Jun-2025,JUMIA/ORDER/REF830134,"13,000.00",,"732,969.00"
11-Jun-2025,WEB/IKEDC PREPAID/METER 45210178822 TOKEN/REF830128,"15,000.00",,"717,969.00"
11-Jun-2025,NIP/DR/TO FEMI ADELEKE/ZENITH/REF830135,"20,000.00",,"697,969.00"
12-Jun-2025,SMS ALERT CHARGE,52.00,,"697,917.00"
12-Jun-2025,ATM/WD/GTB LEKKI/CARD3311,"20,000.00",,"677,917.00"
13-Jun-2025,VAT ON ELECTRONIC TRANSFER,5.00,,"677,912.00"
13-Jun-2025,VTU/MTN/08034983351/AIRTIME,"2,000.00",,"675,912.00"
13-Jun-2025,POS/JEVINIK RESTAURANT/CARD3311,"11,700.00",,"664,212.00"
13-Jun-2025,POS/HUBMART CIRCLE MALL/CARD3311,"13,000.00",,"651,212.00"
13-Jun-2025,POS/NNPC RETAIL LEKKI/PMS,"15,900.00",,"635,312.00"
14-Jun-2025,VAT ON ELECTRONIC TRANSFER,6.00,,"635,306.00"
15-Jun-2025,POS/JEVINIK RESTAURANT/CARD3311,"8,900.00",,"626,406.00"
15-Jun-2025,WEB PURCHASE/PAYSTACK STORE/REF830132,"10,000.00",,"616,406.00"
18-Jun-2025,POS/PRINCE EBEANO SUPERMARKET/CARD3311,"16,000.00",,"600,406.00"
19-Jun-2025,STAMP DUTY CHARGE/EMTL,50.00,,"600,356.00"
20-Jun-2025,POS/MEDPLUS PHARMACY/CARD3311,"15,000.00",,"585,356.00"
20-Jun-2025,ATM/WD/GTB LEKKI/CARD3311,"30,000.00",,"555,356.00"
21-Jun-2025,POS/BOLT/TXFR/LAGOS,"8,800.00",,"546,556.00"
22-Jun-2025,NIP/CR/FROM KUNLE SANNI/OPAY/REF830137,,"17,000.00","563,556.00"
22-Jun-2025,STAMP DUTY CHARGE/EMTL,50.00,,"563,506.00"
22-Jun-2025,POS/DOMINOS PIZZA LEKKI/CARD3311,"3,300.00",,"560,206.00"
23-Jun-2025,WEB/BET9JA/DEPOSIT/373395,"10,000.00",,"550,206.00"
23-Jun-2025,NIP/DR/TO CHIDINMA OKAFOR/ZENITH/REF830136,"14,000.00",,"536,206.00"
25-Jun-2025,NIP/CR/ACME TECHNOLOGIES LTD/SALARY JUN 2025/REF830125,,"522,500.00","1,058,706.00"
25-Jun-2025,SMS ALERT CHARGE,52.00,,"1,058,654.00"
25-Jun-2025,VTU/MTN/08034126966/AIRTIME,"10,000.00",,"1,048,654.00"
25-Jun-2025,NIP/DR/PIGGYVEST/SAVEFLEX AUTOSAVE/REF830129,"60,000.00",,"988,654.00"
26-Jun-2025,POS/INDRIVE LAGOS/LAGOS,"8,800.00",,"979,854.00"
26-Jun-2025,NIP/DR/TO MERCY ADEYEMI/GTBANK/MONTHLY UPKEEP/REF830130,"40,000.00",,"939,854.00"
27-Jun-2025,POS/UBER BV/LAGOS,"1,500.00",,"938,354.00"
27-Jun-2025,POS/THE PLACE VICTORIA ISLAND/CARD3311,"6,800.00",,"931,554.00"
28-Jun-2025,CARD MAINTENANCE FEE/QTRLY/REF830131,105.00,,"931,449.00"
28-Jun-2025,JUMIA/ORDER/REF830133,"5,000.00",,"926,449.00"
01-Jul-2025,NIP/DR/TO CHIDINMA OKAFOR/ZENITH/REF830149,"24,000.00",,"902,449.00"
02-Jul-2025,STAMP DUTY CHARGE/EMTL,50.00,,"902,399.00"
02-Jul-2025,SMS ALERT CHARGE,52.00,,"902,347.00"
02-Jul-2025,WEB/DSTV SUBSCRIPTION COMPACT PLUS/MULTICHOICE NG/REF830139,"24,500.00",,"877,847.00"
03-Jul-2025,POS/SHOPRITE LEKKI/CARD3311,"14,000.00",,"863,847.00"
03-Jul-2025,ATM/WD/GTB LEKKI/CARD3311,"20,000.00",,"843,847.00"
04-Jul-2025,POS/SHOPRITE LEKKI/CARD3311,"15,000.00",,"828,847.00"
05-Jul-2025,WEB/NETFLIX.COM 8663434/AMSTERDAM NL/CARD3311,"7,900.00",,"820,947.00"
06-Jul-2025,WEB/SPOTIFY P0FA23/STOCKHOLM SE/CARD3311,"1,300.00",,"819,647.00"
06-Jul-2025,POS/BOLT/TXFR/LAGOS,"8,900.00",,"810,747.00"
06-Jul-2025,POS/TOTALENERGIES ADMIRALTY/PMS,"16,500.00",,"794,247.00"
07-Jul-2025,SMS ALERT CHARGE,52.00,,"794,195.00"
07-Jul-2025,POS/JEVINIK RESTAURANT/CARD3311,"4,900.00",,"789,295.00"
07-Jul-2025,POS/INDRIVE LAGOS/LAGOS,"7,900.00",,"781,395.00"
07-Jul-2025,WEB/SPECTRANET LTE/INTERNET MONTHLY/REF830140,"20,600.00",,"760,795.00"
08-Jul-2025,VAT ON ELECTRONIC TRANSFER,7.00,,"760,788.00"
08-Jul-2025,WEB/BET9JA/DEPOSIT/504733,"10,000.00",,"750,788.00"
09-Jul-2025,JUMIA/ORDER/REF830147,"15,000.00",,"735,788.00"
10-Jul-2025,WEB/BET9JA/DEPOSIT/416278,"20,000.00",,"715,788.00"
11-Jul-2025,VTU/MTN/08034156314/DATA 25GB,"1,000.00",,"714,788.00"
11-Jul-2025,WEB/IKEDC PREPAID/METER 45210178822 TOKEN/REF830141,"15,000.00",,"699,788.00"
12-Jul-2025,SMS ALERT CHARGE,52.00,,"699,736.00"
12-Jul-2025,NIP/DR/TO FEMI ADELEKE/UBA/REF830148,"7,000.00",,"692,736.00"
13-Jul-2025,POS/INDRIVE LAGOS/LAGOS,"8,100.00",,"684,636.00"
13-Jul-2025,KONGA ONLINE/REF830145,"20,000.00",,"664,636.00"
16-Jul-2025,STAMP DUTY CHARGE/EMTL,50.00,,"664,586.00"
16-Jul-2025,POS/CAFE NEO/CARD3311,"2,800.00",,"661,786.00"
16-Jul-2025,WEB PURCHASE/PAYSTACK STORE/REF830146,"11,000.00",,"650,786.00"
17-Jul-2025,SMS ALERT CHARGE,52.00,,"650,734.00"
18-Jul-2025,WEB/BET9JA/DEPOSIT/159586,"10,000.00",,"640,734.00"
18-Jul-2025,WEB/BET9JA/DEPOSIT/276038,"20,000.00",,"620,734.00"
19-Jul-2025,VTU/MTN/08034518460/DATA 25GB,"1,000.00",,"619,734.00"
19-Jul-2025,POS/MEDPLUS PHARMACY/CARD3311,"7,000.00",,"612,734.00"
23-Jul-2025,VAT ON ELECTRONIC TRANSFER,7.00,,"612,727.00"
23-Jul-2025,POS/HUBMART CIRCLE MALL/CARD3311,"27,000.00",,"585,727.00"
24-Jul-2025,POS/NNPC RETAIL LEKKI/PMS,"8,000.00",,"577,727.00"
25-Jul-2025,NIP/CR/ACME TECHNOLOGIES LTD/SALARY JUL 2025/REF830138,,"517,500.00","1,095,227.00"
25-Jul-2025,POS/JEVINIK RESTAURANT/CARD3311,"11,600.00",,"1,083,627.00"
25-Jul-2025,POS/DOMINOS PIZZA LEKKI/CARD3311,"11,900.00",,"1,071,727.00"
26-Jul-2025,ATM/WD/GTB LEKKI/CARD3311,"20,000.00",,"1,051,727.00"
26-Jul-2025,NIP/DR/TO MERCY ADEYEMI/GTBANK/MONTHLY UPKEEP/REF830143,"40,000.00",,"1,011,727.00"
27-Jul-2025,VTU/MTN/08034114140/DATA 10GB,"5,000.00",,"1,006,727.00"
27-Jul-2025,NIP/DR/PIGGYVEST/SAVEFLEX AUTOSAVE/REF830142,"60,000.00",,"946,727.00"
28-Jul-2025,STAMP DUTY CHARGE/EMTL,50.00,,"946,677.00"
28-Jul-2025,CARD MAINTENANCE FEE/QTRLY/REF830144,105.00,,"946,572.00"
28-Jul-2025,POS/UBER BV/LAGOS,"7,200.00",,"939,372.00"
28-Jul-2025,POS/DOMINOS PIZZA LEKKI/CARD3311,"8,700.00",,"930,672.00"
